"Version",5
"Author","Adrian Orastean"
"Date",#2024-09-04 12:30:23#
"Product","2SP0215F2Q1C-GD1000HFA120C6S"
"Mandatory","CTQ","Fail Group","Test Number 1","Test Number 2","Test Name","Spec ID","Test Mode","Low Limit","Expected Value","Max Limit","Unit","Tolerance","BOM ID","MFG PN","Test Type","Test Point A","Test Point B","Test Point C","Test Point D","Voltage","Current","Frequency","Treshold Level CHA","Treshold Level CHB","Samples","Setup Delay","Range Delay","Error Text","Test Description"
1,0,1,"010","020","ICT - Resistance R101","R101","GELE",73500,75000,76500,"Ohm",.02,"SPA-RES-0003","AC0603FR-1362KL","2-Wire Resistance Measurement","TP107","COM1","NA","NA",.1,100,"NA","NA","NA",1,1,1,"Resistance Measurement - R101","Replace R101"
1,0,1,"010","030","ICT - Resistance R102","R102","GELE",460600,470000,479400,"Ohm",.02,"SPA-RES-0005","AC1206FR-07390KL","2-Wire Resistance Measurement","TP129","TP107","NA","NA",.5,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R102","Replace R102"
1,0,1,"010","040","ICT - Resistance R103","R103","GELE",460600,470000,479400,"Ohm",.02,"SPA-RES-0005","AC1206FR-07390KL","2-Wire Resistance Measurement","TP128","TP129","NA","NA",.5,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R103","Replace R103"
1,0,1,"010","050","ICT - Resistance R104","R104","GELE",460600,470000,479400,"Ohm",.02,"SPA-RES-0005","AC1206FR-07390KL","2-Wire Resistance Measurement","TP127","TP128","NA","NA",.5,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R104","Replace R104"
1,0,1,"010","060","ICT - Resistance R105","R105","GELE",460600,470000,479400,"Ohm",.02,"SPA-RES-0005","AC1206FR-07390KL","2-Wire Resistance Measurement","TP126","TP127","NA","NA",.5,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R105","Replace R105"
1,0,1,"010","070","ICT - Resistance R106","R106","GELE",460600,470000,479400,"Ohm",.02,"SPA-RES-0005","AC1206FR-07390KL","2-Wire Resistance Measurement","TP125","TP126","NA","NA",.5,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R106","Replace R106"
1,0,1,"010","080","ICT - Resistance R107","R107","GELE",460600,470000,479400,"Ohm",.02,"SPA-RES-0005","AC1206FR-07390KL","2-Wire Resistance Measurement","TP108","TP125","NA","NA",.5,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R107","Replace R107"
1,0,1,"010","090","ICT - Resistance R108_R109_R110_R111_R125","R108_R109_R110_R111_R125","GELE",.8514,.86,.8686,"Ohm",.01,"SPA-RES-0006","AC1206FR-072RL","4-Wire Resistance Measurement","TP135","TP111","TP133","TP134",.2,128,"NA","NA","NA",1,1,1,"Resistance Measurement - R108_R109_R110_R111_R125","Replace R108_R109_R110_R111_R125"
1,0,1,"010","100","ICT - Resistance R112_R113_R114_R115_R116","R112_R113_R114_R115_R116","GELE",.9306,.94,.9494,"Ohm",.01,"SPA-RES-0007","AC1206FR-0712RL","4-Wire Resistance Measurement","TP113","TP111","TP133","TP134",.2,128,"NA","NA","NA",1,1,1,"Resistance Measurement - R112_R113_R114_R115_R116","Replace R112_R113_R114_R115_R116"
1,0,1,"010","110","ICT - Resistance R117","R117","GELE",32340,33000,33660,"Ohm",.02,"SPA-RES-0010","AC0603FR-0733KL","2-Wire Resistance Measurement","COM1","TP111","NA","NA",.1,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R117","Replace R117"
1,0,1,"010","120","ICT - Resistance R118","R118","GELE",6.324,6.8,7.276,"Ohm",.07,"SPA-RES-0011","AC0402FR-076R8L","2-Wire Resistance Measurement","TP114","TP115","NA","NA",.1,100,"NA","NA","NA",1,10,20,"Resistance Measurement - R118","Replace R118"
1,0,1,"010","140","ICT - Resistance R120","R120","GELE",323400,330000,336600,"Ohm",.02,"SPA-RES-0012","AC0402FR-07330KL","2-Wire Resistance Measurement","TP141","TP117","NA","NA",.1,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R120","Replace R120"
1,0,1,"010","150","ICT - Resistance R121","R121","GELE",20.9,22,23.1,"Ohm",.05,"SPA-RES-0009","AC0402FR-0722RL","2-Wire Resistance Measurement","TP140","TP105","NA","NA",.1,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R121","Replace R121"
1,0,1,"010","170","ICT - Resistance R123","R123","GELE",19,20,21,"Ohm",.05," SPA-RES-0013","AC1206FR-0720RL","2-Wire Resistance Measurement","TP130","TP110","NA","NA",.1,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R123","Replace R123"
1,0,1,"010","180","ICT - Resistance R124","R124","GELE",115.9,122,128.1,"Ohm",.05,"SPA-RES-0009","AC0402FR-0722RL","2-Wire Resistance Measurement","TP116","TP142","NA","NA",.1,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R124","Replace R124"
1,0,1,"010","183","ICT - Resistance R127","R127","GELE",95,100,105,"Ohm",.05,"SPA-RES-0009","AC0402FR-0722RL","2-Wire Resistance Measurement","TP116","TP142","NA","NA",.1,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R127","Replace R127"
1,0,1,"010","190","ICT - Resistance R200","R200","GELE",3783,3900,4017,"Ohm",.03,"SPA-RES-0002","AC0603FR-0727KL","2-Wire Resistance Measurement","TP207","TP209","NA","NA",.1,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R200","Replace R200"
1,0,1,"010","200","ICT - Resistance R201","R201","GELE",73500,75000,76500,"Ohm",.02,"SPA-RES-0003","AC0603FR-1362KL","2-Wire Resistance Measurement","TP207","COM2","NA","NA",.5,160,"NA","NA","NA",1,5,5,"Resistance Measurement - R201","Replace R201"
1,0,1,"010","210","ICT - Resistance R202","R202","GELE",460600,470000,479400,"Ohm",.02,"SPA-RES-0005","AC1206FR-07390KL","2-Wire Resistance Measurement","TP207","COM2","NA","NA",.5,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R202","Replace R202"
1,0,1,"010","220","ICT - Resistance R203","R203","GELE",460600,470000,479400,"Ohm",.02,"SPA-RES-0005","AC1206FR-07390KL","2-Wire Resistance Measurement","TP229","TP228","NA","NA",.5,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R203","Replace R203"
1,0,1,"010","230","ICT - Resistance R204","R204","GELE",460600,470000,479400,"Ohm",.02,"SPA-RES-0005","AC1206FR-07390KL","2-Wire Resistance Measurement","TP228","TP227","NA","NA",.5,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R204","Replace R204"
1,0,1,"010","240","ICT - Resistance R205","R205","GELE",460600,470000,479400,"Ohm",.02,"SPA-RES-0005","AC1206FR-07390KL","2-Wire Resistance Measurement","TP226","TP227","NA","NA",.5,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R205","Replace R205"
1,0,1,"010","250","ICT - Resistance R206","R206","GELE",460600,470000,479400,"Ohm",.02,"SPA-RES-0005","AC1206FR-07390KL","2-Wire Resistance Measurement","TP226","TP225","NA","NA",.5,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R206","Replace R206"
1,0,1,"010","260","ICT - Resistance R207","R207","GELE",460600,470000,479400,"Ohm",.02,"SPA-RES-0005","AC1206FR-07390KL","2-Wire Resistance Measurement","TP225","TP208","NA","NA",.5,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R207","Replace R207"
1,0,1,"010","270","ICT - Resistance R208_R209_R210_R211_R225","R208_R209_R210_R211_R225","GELE",1.2276,1.24,1.2524,"Ohm",.01,"SPA-RES-0006","AC1206FR-072RL","4-Wire Resistance Measurement","TP230","TP211","TP233","TP234",.2,128,"NA","NA","NA",1,1,1,"Resistance Measurement - R208_R209_R210_R211_R225","Replace R208_R209_R210_R211_R225"
1,0,1,"010","280","ICT - Resistance R212_R213_R214_R215_R216","R212_R213_R214_R215_R216","GELE",.7128,.72,.7272,"Ohm",.01,"SPA-RES-0008","AC1206FR-0715RL","4-Wire Resistance Measurement","TP213","TP235","TP233","TP234",.2,128,"NA","NA","NA",1,1,1,"Resistance Measurement - R212_R213_R214_R215_R216","Replace R212_R213_R214_R215_R216"
1,0,1,"010","290","ICT - Resistance R217","R217","GELE",32340,33000,33660,"Ohm",.02,"SPA-RES-0010","AC0603FR-0733KL","2-Wire Resistance Measurement","COM2","G2","NA","NA",.1,160,"NA","NA","NA",1,1,1,"Resistance Measurement - R217","Replace R217"
1,0,1,"010","300","ICT - Resistance R218","R218","GELE",6.324,6.8,7.276,"Ohm",.07,"SPA-RES-0011","AC0402FR-076R8L","2-Wire Resistance Measurement","TP214","TP215","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R218","Replace R218"
1,0,1,"010","320","ICT - Resistance R220","R220","GELE",323400,330000,336600,"Ohm",.02,"SPA-RES-0012","AC0402FR-07330KL","2-Wire Resistance Measurement","TP218","TP217","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R220","Replace R220"
1,0,1,"010","330","ICT - Resistance R221","R221","GELE",20.46,22,23.54,"Ohm",.07,"SPA-RES-0009","AC0402FR-0722RL","2-Wire Resistance Measurement","TP205","TP240","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R221","Replace R221"
1,0,1,"010","350","ICT - Resistance R223","R223","GELE",19,20,21,"Ohm",.05,"SPA-RES-0013","AC1206FR-0720RL","2-Wire Resistance Measurement","TP230","TP210","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R223","Replace R223"
1,0,1,"010","360","ICT - Resistance R300","R300","GELE",1425,1500,1575,"Ohm",.05,"SPA-RES-0015","AC0402FR-071K5L","2-Wire Resistance Measurement","TP321","TP306","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R300","Replace R300"
1,0,1,"010","380","ICT - Resistance R302","R302","GELE",1140,1200,1260,"Ohm",.05,"SPA-RES-0017","	 AC0402FR-071K2L","2-Wire Resistance Measurement","TP312","TP317","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R302","Replace R302"
1,0,1,"010","390","ICT - Resistance R303","R303","GELE",1140,1200,1260,"Ohm",.05,"SPA-RES-0017","	 AC0402FR-071K2L","2-Wire Resistance Measurement","TP312","TP318","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R303","Replace R303"
1,0,1,"010","400","ICT - Resistance R304","R304","GELE",1140,1200,1260,"Ohm",.05,"SPA-RES-0017","	 AC0402FR-071K2L","2-Wire Resistance Measurement","TP312","TP309","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R304","Replace R304"
1,0,1,"010","410","ICT - Resistance R305","R305","GELE",1140,1200,1260,"Ohm",.05,"SPA-RES-0017","	 AC0402FR-071K2L","2-Wire Resistance Measurement","TP312","TP310","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R305","Replace R305"
1,0,1,"010","420","ICT - Resistance R306","R306","GELE",320.1,330,339.9,"Ohm",.03,"SPA-RES-0018","AC0402FR-07330RL","2-Wire Resistance Measurement","TP317","TP305","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R306","Replace R306"
1,0,1,"010","430","ICT - Resistance R307","R307","GELE",313.5,330,346.5,"Ohm",.05,"SPA-RES-0018","AC0402FR-07330RL","2-Wire Resistance Measurement","TP318","TP308","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R307","Replace R307"
1,0,1,"010","440","ICT - Resistance R308","R308","GELE",320.1,330,339.9,"Ohm",.03,"SPA-RES-0018","AC0402FR-07330RL","2-Wire Resistance Measurement","TP319","TP309","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R308","Replace R308"
1,0,1,"010","450","ICT - Resistance R309","R309","GELE",320.1,330,339.9,"Ohm",.03,"SPA-RES-0018","AC0402FR-07330RL","2-Wire Resistance Measurement","TP320","TP310","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R307","Replace R307"
1,0,1,"010","460","ICT - Resistance R310","R310","GELE",.1,.5,1,"Ohm",.03,"SPA-RES-0024","AC0402FR-07330RL","2-Wire Resistance Measurement","TP326","TP307","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R308","Replace R308"
1,0,1,"010","470","ICT - Resistance R311","R311","GELE",95,100,105,"Ohm",.05,"SPA-RES-0019","AC0402FR-07100RL","2-Wire Resistance Measurement","TP325","TP306","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R307","Replace R307"
1,0,1,"010","480","ICT - Resistance R400","R400","GELE",1425,1500,1575,"Ohm",.05,"SPA-RES-0015","AC0402FR-071K5L","2-Wire Resistance Measurement","TP422","TP406","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R400","Replace R400"
1,0,1,"010","500","ICT - Resistance R402","R402","GELE",1140,1200,1260,"Ohm",.05,"SPA-RES-0017","	 AC0402FR-071K2L","2-Wire Resistance Measurement","TP312","TP405","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R402","Replace R402"
1,0,1,"010","510","ICT - Resistance R403","R403","GELE",1140,1200,1260,"Ohm",.05,"SPA-RES-0017","	 AC0402FR-071K2L","2-Wire Resistance Measurement","TP312","TP408","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R403","Replace R403"
1,0,1,"010","520","ICT - Resistance R404","R404","GELE",1140,1200,1260,"Ohm",.05,"SPA-RES-0017","	 AC0402FR-071K2L","2-Wire Resistance Measurement","TP312","TP409","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R404","Replace R404"
1,0,1,"010","530","ICT - Resistance R405","R405","GELE",1140,1200,1260,"Ohm",.05,"SPA-RES-0017","	 AC0402FR-071K2L","2-Wire Resistance Measurement","TP312","TP410","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R405","Replace R405"
1,0,1,"010","540","ICT - Resistance R406","R406","GELE",320.1,330,339.9,"Ohm",.03,"SPA-RES-0018","AC0402FR-07330RL","2-Wire Resistance Measurement","TP417","TP405","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R406","Replace R406"
1,0,1,"010","550","ICT - Resistance R407","R407","GELE",320.1,330,339.9,"Ohm",.03,"SPA-RES-0018","AC0402FR-07330RL","2-Wire Resistance Measurement","TP418","TP408","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R407","Replace R407"
1,0,1,"010","560","ICT - Resistance R408","R408","GELE",320.1,330,339.9,"Ohm",.03,"SPA-RES-0018","AC0402FR-07330RL","2-Wire Resistance Measurement","TP419","TP409","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R408","Replace R408"
1,0,1,"010","570","ICT - Resistance R409","R409","GELE",320.1,330,339.9,"Ohm",.03,"SPA-RES-0018","AC0402FR-07330RL","2-Wire Resistance Measurement","TP420","TP410","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R307","Replace R409"
1,0,1,"010","580","ICT - Resistance R410","R410","GELE",.1,.5,1,"Ohm",.03,"SPA-RES-0024","AC0402FR-07330RL","2-Wire Resistance Measurement","TP426","TP407","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R408","Replace R408"
1,0,1,"010","590","ICT - Resistance R411","R411","GELE",97,100,103,"Ohm",.03,"SPA-RES-0019","AC0402FR-07100RL","2-Wire Resistance Measurement","TP425","TP406","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - R307","Replace R409"
1,0,1,"010","600","ICT - Resistance Rt200_T_25","Rt200_T_25","GELE",6000,10000,12200,"Ohm",.2,"SPA-RES-0020","NTCG163JF103FT1S","2-Wire Resistance Measurement","TP216","COM2","NA","NA",.1,100,"NA","NA","NA",1,5,5,"Resistance Measurement - Rt200 Ambient Temp","Replace Rt200"
1,0,1,"020","010","ICT - Capacitance C100_C101_C102_C106_C117","C100_C101_C102_C106_C117","GELE",.00003609,.0000401,.00004411,"Fahrad",.1,"SPA-CAP-0002","CGA5L1X7R1H106K160AC","Capacitance Measurement - CP","VISO1","VEE1","NA","NA",.2,"NA",10,"NA","NA",1,10,10,"Capacitance Measurement - C100_C101_C102_C106_C117","Replace C100_C101_C102_C106_C117"
1,0,2,"020","020","ICT - Capacitance C103_C104_C105_C107_C118","C103_C104_C105_C107_C118","GELE",.00003609,.0000401,.00004411,"Fahrad",.1,"SPA-CAP-0002","CGA5L1X7R1H106K160AC","Capacitance Measurement - CP","COM1","VEE1","NA","NA",.2,"NA",10,"NA","NA",1,10,10,"Capacitance Measurement - C103_C104_C105_C107_C118","Replace C103_C104_C105_C107_C118"
1,0,2,"020","030","ICT - Capacitance C108","C108","GELE",.0000000000005,.000000000001,.0000000000035,"Fahrad",.5,"SPA-CAP-0005","AC1206JKNPOCBN220","Capacitance Measurement - CS","TP107","TP129","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C108","Replace C108"
1,0,2,"020","040","ICT - Capacitance C109","C109","GELE",.0000000000005,.000000000001,.0000000000035,"Fahrad",.5,"SPA-CAP-0005","AC1206JKNPOCBN220","Capacitance Measurement - CS","TP129","TP128","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C109","Replace C109"
1,0,2,"020","050","ICT - Capacitance C110","C110","GELE",.0000000000005,.000000000001,.0000000000035,"Fahrad",.5,"SPA-CAP-0005","AC1206JKNPOCBN220","Capacitance Measurement - CS","TP128","TP127","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C110","Replace C110"
1,0,2,"020","060","ICT - Capacitance C111","C111","GELE",.0000000000005,.000000000001,.0000000000035,"Fahrad",.5,"SPA-CAP-0005","AC1206JKNPOCBN220","Capacitance Measurement - CS","TP127","TP126","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C111","Replace C111"
1,0,2,"020","070","ICT - Capacitance C112","C112","GELE",.0000000000005,.000000000001,.0000000000035,"Fahrad",.5,"SPA-CAP-0005","AC1206JKNPOCBN220","Capacitance Measurement - CS","TP125","TP126","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C112","Replace C112"
1,0,2,"020","080","ICT - Capacitance C113","C113","GELE",.0000000000005,.000000000001,.0000000000035,"Fahrad",.5,"SPA-CAP-0005","AC1206JKNPOCBN220","Capacitance Measurement - CS","TP108","TP125","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C113","Replace C113"
1,0,2,"020","090","ICT - Capacitance C114","C114","GELE",.00000007,.0000001,.000000143,"Fahrad",.3,"SPA-CAP-0004","AC0603KRX7R9BB104","Capacitance Measurement - CS","TP110","TP112","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C114","Replace C114"
1,0,2,"020","110","ICT - Capacitance C116","C116","GELE",.0000003995,.00000047,.0000005405,"Fahrad",.15,"SPA-CAP-0003","AC0603KRX7R9BB104","Capacitance Measurement - CS","TP137","TP138","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C116","Replace C116"
1,0,2,"020","120","ICT - Capacitance C119","C119","GELE",.00000000088,.0000000011,.00000000132,"Fahrad",.2,"SPA-CAP-0007","GCM1555C1H102JA16D","Capacitance Measurement - CS","TP118","TP116","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C119","Replace C119"
1,0,2,"020","140","ICT - Capacitance C200_C201_C202_C206_C217","C200_C201_C202_C206_C217","GELE",.00003609,.0000401,.00004411,"Fahrad",.1,"SPA-CAP-0002","CGA5L1X7R1H106K160AC","Capacitance Measurement - CP","VISO2","VEE2","NA","NA",.2,"NA",10,"NA","NA",1,10,10,"Capacitance Measurement - C200_C201_C202_C206_C217","Replace C200_C201_C202_C206_C217"
1,0,2,"020","150","ICT - Capacitance C203_C204_C205_C207_C218","C203_C204_C205_C207_C218","GELE",.00003609,.0000401,.00004411,"Fahrad",.1,"SPA-CAP-0002","CGA5L1X7R1H106K160AC","Capacitance Measurement - CP","COM2","VEE2","NA","NA",.2,"NA",10,"NA","NA",1,10,10,"Capacitance Measurement - C203_C204_C205_C207_C218","Replace C203_C204_C205_C207_C218"
1,0,2,"020","160","ICT - Capacitance C208","C208","GELE",.0000000000005,.000000000001,.0000000000035,"Fahrad",.5,"SPA-CAP-0005","AC1206JKNPOCBN220","Capacitance Measurement - CS","TP207","TP229","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C208","Replace C208"
1,0,2,"020","170","ICT - Capacitance C209","C209","GELE",.0000000000005,.000000000001,.0000000000035,"Fahrad",.5,"SPA-CAP-0005","AC1206JKNPOCBN220","Capacitance Measurement - CS","TP229","TP228","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C209","Replace C209"
1,0,2,"020","180","ICT - Capacitance C210","C210","GELE",.0000000000003,.000000000001,.0000000000037,"Fahrad",.7,"SPA-CAP-0005","AC1206JKNPOCBN220","Capacitance Measurement - CS","TP228","TP227","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C210","Replace C210"
1,0,2,"020","190","ICT - Capacitance C211","C211","GELE",.0000000000005,.000000000001,.0000000000035,"Fahrad",.5,"SPA-CAP-0005","AC1206JKNPOCBN220","Capacitance Measurement - CS","TP227","TP226","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C211","Replace C211"
1,0,2,"020","200","ICT - Capacitance C212","C212","GELE",.0000000000005,.000000000001,.0000000000035,"Fahrad",.5,"SPA-CAP-0005","AC1206JKNPOCBN220","Capacitance Measurement - CS","TP226","TP225","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C212","Replace C212"
1,0,2,"020","210","ICT - Capacitance C213","C213","GELE",.0000000000005,.000000000001,.0000000000035,"Fahrad",.5,"SPA-CAP-0005","AC1206JKNPOCBN220","Capacitance Measurement - CS","TP225","TP208","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C213","Replace C213"
1,0,2,"020","220","ICT - Capacitance C214","C214","GELE",.00000008,.0000001,.000000143,"Fahrad",.2,"SPA-CAP-0004","AC0603KRX7R9BB104","Capacitance Measurement - CS","TP210","TP212","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C214","Replace C214"
1,0,2,"020","240","ICT - Capacitance C216","C216","GELE",.000000376,.00000047,.000000564,"Fahrad",.2,"SPA-CAP-0003","C0805C474K5RACAUTO","Capacitance Measurement - CS","TP237","TP238","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C216","Replace C216"
1,0,2,"020","250","ICT - Capacitance C219","C219","GELE",.00000000007,.0000000001,.00000000012,"Fahrad",.3,"SPA-CAP-0006","GCM1555C1H101JA16D","Capacitance Measurement - CS","TP216","TP238","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C219","Replace C219"
1,0,2,"020","260","ICT - Capacitance C300_C304_C309_C311","C300_C304_C309_C311","GELE",.000017766,.00001974,.000021714,"Fahrad",.1,"SPA-CAP-0009","CGA4J1X7R1E475K125AC","Capacitance Measurement - CS","TP321","TP312","NA","NA",.2,"NA",100,"NA","NA",1,10,10,"Capacitance Measurement - C300_C304_C309_C311","Replace C300_C304_C309_C311"
